stage,iteration,temperature,current_cost,new_cost,best_cost,current_distance,best_distance,accepted,reward,rem_idx,ins_idx,noise_idx,q_removed,unassigned,is_unvisited
stage1,42,215.61393373901086,3082.773266503539,3085.529890976696,2994.0896403419306,3085.529890976696,2994.0896403419306,1,-0.0008047825160541831,0,0,1,6,0,1
stage1,43,215.61177759967347,3085.529890976696,3085.529890976696,2994.0896403419306,3085.529890976696,2994.0896403419306,1,0.0,1,0,0,9,0,0
stage1,44,215.60962148189748,3085.529890976696,3084.773266503539,2994.0896403419306,3084.773266503539,2994.0896403419306,1,0.0002206953262169625,2,0,0,6,0,1
stage1,45,215.60746538568267,3084.773266503539,3071.9218466626944,2994.0896403419306,3071.9218466626944,2994.0896403419306,1,0.003749474226308428,1,0,0,4,0,1
stage1,46,215.60530931102883,3071.9218466626944,3053.801759114348,2994.0896403419306,3053.801759114348,2994.0896403419306,1,0.005308754456506994,1,0,0,12,0,1
stage1,47,215.60315325793573,3053.801759114348,3055.4454679446017,2994.0896403419306,3055.4454679446017,2994.0896403419306,1,-0.00048442500984652553,1,0,1,8,0,1
stage1,48,215.60099722640317,3055.4454679446017,3051.3941536728894,2994.0896403419306,3051.3941536728894,2994.0896403419306,1,0.0011933391980953377,0,0,0,4,0,1
stage1,49,215.5988412164309,3051.3941536728894,3057.767248396307,2994.0896403419306,3057.767248396307,2994.0896403419306,1,-0.0018797261062363235,1,0,1,4,0,1
stage1,50,215.59668522801877,3057.767248396307,3052.600321352469,2994.0896403419306,3052.600321352469,2994.0896403419306,1,0.001520794083294914,0,0,1,7,0,1
stage1,51,215.5945292611665,3052.600321352469,3067.2448181767422,2994.0896403419306,3067.2448181767422,2994.0896403419306,1,-0.004317645860695685,1,0,1,11,0,1
